id,crc,createdAt,faultCode,faultCodeType,faultMessage,firmName,kavachSubSystemId,kavachSubSystemType,messageDate,messageLength,messageSequence,messageTime,moduleId,nmsSystemId,systemVersion,totalFaultCodes
1,D6FD6622,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18430,00:05:34,2,3,1,1
1,13AA4994,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18431,00:05:34,1,3,1,1
1,7AD18FB5,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18438,00:05:40,1,3,1,1
1,BF86A003,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18439,00:05:40,2,3,1,1
1,A99A9513,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18502,00:06:06,1,3,1,1
1,6CCDBAA5,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18503,00:06:06,2,3,1,1
1,2BE2C860,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18525,00:06:12,2,3,1,1
1,9A01E127,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18526,00:06:12,1,3,1,1
1,A9C46498,,49,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18553,00:06:32,15,3,1,1
1,B22E8554,,49,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18554,00:06:32,14,3,1,1
1,EBF3020B,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18561,00:06:38,2,3,1,1
1,5A102B4C,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18562,00:06:38,1,3,1,1
1,CB2A4D35,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18569,00:06:44,2,3,1,1
1,7AC96472,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18570,00:06:44,1,3,1,1
1,69AB1E89,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18633,00:07:10,2,3,1,1
1,D84837CE,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18634,00:07:10,1,3,1,1
1,DFCA3B35,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18656,00:07:16,2,3,1,1
1,1A9D1483,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18657,00:07:16,1,3,1,1
1,0C4ADF41,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18687,00:07:42,2,3,1,1
1,DAD8A441,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18688,00:07:42,1,3,1,1
1,58885807,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18697,00:07:48,2,3,1,1
1,E96B7140,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18698,00:07:48,1,3,1,1
1,6406C219,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18768,00:08:14,1,3,1,1
1,A151EDAF,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18769,00:08:14,2,3,1,1
1,47ED65D7,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18791,00:08:20,2,3,1,1
1,16C75CF7,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18792,00:08:20,1,3,1,1
1,419968FA,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18821,00:08:46,2,3,1,1
1,F07A41BD,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18822,00:08:46,1,3,1,1
1,142B14E4,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18829,00:08:52,1,3,1,1
1,A5C83DA3,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18830,00:08:52,2,3,1,1
1,15FCC1F1,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18894,00:09:18,1,3,1,1
1,D0ABEE47,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18895,00:09:18,2,3,1,1
1,A242D19C,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18917,00:09:24,2,3,1,1
1,13A1F8DB,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18918,00:09:24,1,3,1,1
1,85290057,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18947,00:09:50,2,3,1,1
1,DDA224F2,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18948,00:09:50,1,3,1,1
1,382C447A,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18957,00:09:56,2,3,1,1
1,89CF6D3D,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,18958,00:09:56,1,3,1,1
1,8D66F7C3,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19023,00:10:22,1,3,1,1
